source_url,old_path,new_path,status
https://adfin.com/post/how-nourished-accounting-gets-paid-on-time,/post/how-nourished-accounting-gets-paid-on-time,/blog/how-nourished-accounting-gets-paid-on-time,moves
https://adfin.com/post/4-ways-get-paid,/post/4-ways-get-paid,/blog/4-ways-get-paid,moves
https://adfin.com/post/5-tips-for-credit-control,/post/5-tips-for-credit-control,/blog/5-tips-for-credit-control,moves
https://adfin.com/post/7-ways-to-streamline-accounts-receivable-for-accountants-and-bookkeepers,/post/7-ways-to-streamline-accounts-receivable-for-accountants-and-bookkeepers,/blog/7-ways-to-streamline-accounts-receivable-for-accountants-and-bookkeepers,moves
https://adfin.com/post/top-5-strategies-to-improve-your-cash-flow,/post/top-5-strategies-to-improve-your-cash-flow,/blog/top-5-strategies-to-improve-your-cash-flow,moves
https://adfin.com/post/adfin-and-engager-app-unveil-game-changing-integration-at-accountex-north-2024,/post/adfin-and-engager-app-unveil-game-changing-integration-at-accountex-north-2024,/blog/adfin-and-engager-app-unveil-game-changing-integration-at-accountex-north-2024,moves
https://adfin.com/post/adfin-emerges-from-stealth-with-4-9m-in-funding-to-build-the-best-way-for-bills-to-get-paid,/post/adfin-emerges-from-stealth-with-4-9m-in-funding-to-build-the-best-way-for-bills-to-get-paid,/blog/adfin-emerges-from-stealth-with-4-9m-in-funding-to-build-the-best-way-for-bills-to-get-paid,moves
https://adfin.com/post/adfin-xero-payment-method,/post/adfin-xero-payment-method,/blog/adfin-xero-payment-method,moves
https://adfin.com/post/adfin-releases-beta-mcp-server-for-ai-clients,/post/adfin-releases-beta-mcp-server-for-ai-clients,/blog/adfin-releases-beta-mcp-server-for-ai-clients,moves
https://adfin.com/post/adfin-xero-integration,/post/adfin-xero-integration,/blog/adfin-xero-integration,moves
https://adfin.com/post/announcing-our-october-release,/post/announcing-our-october-release,/blog/announcing-our-october-release,moves
https://adfin.com/post/are-late-payments-holding-you-back,/post/are-late-payments-holding-you-back,/blog/are-late-payments-holding-you-back,moves
https://adfin.com/post/how-sm-can-take-control-of-cash-flow,/post/how-sm-can-take-control-of-cash-flow,/blog/how-sm-can-take-control-of-cash-flow,moves
https://adfin.com/post/building-compliance-from-day-one,/post/building-compliance-from-day-one,/blog/building-compliance-from-day-one,moves
https://adfin.com/post/choosing-the-right-invoice-payments-solution,/post/choosing-the-right-invoice-payments-solution,/blog/choosing-the-right-invoice-payments-solution,moves
https://adfin.com/post/direct-debit-for-accountants,/post/direct-debit-for-accountants,/blog/direct-debit-for-accountants,moves
https://adfin.com/post/spotlight-of-the-week-emily-rutterford,/post/spotlight-of-the-week-emily-rutterford,/blog/spotlight-of-the-week-emily-rutterford,moves
https://adfin.com/post/payment-fees,/post/payment-fees,/blog/payment-fees,moves
